C_M,Commodity,Mine_name,Mine_type,Operator_ID,Operator_name,State,Status
M ,"Crushed, Broken Stone NEC ",Newberg Rock & Dirt,Newberg Rock & Dirt,3503598,Newberg Rock & Dirt  ,OR ,Active 
M ,Construction Sand and Gravel ,BENDER SAND & DIRT,BENDER SAND & DIRT,1401575,Bender Sand & Dirt  ,KS ,Intermittent 
M ,Construction Sand and Gravel ,Bush Pilot,Bush Pilot,5001797,Dirt Company  ,AK ,Intermittent 
M ,Construction Sand and Gravel ,Rock Lake Plant,Rock Lake Plant,2103723,Dirt Doctor Inc  ,MN ,Intermittent 
M ,Construction Sand and Gravel ,Astec Plant,Astec Plant,2103914,Dirt Work Specialists LLC  ,MN ,Intermittent 
M ,Construction Sand and Gravel ,Portable #1,Portable #1,4104757,Dirt Works  ,TX ,Intermittent 
M ,"Sand, Common ",River Road Pit,River Road Pit,0801306,"Holley Dirt Company, Inc  ",FL ,Active 
M ,Construction Sand and Gravel ,PORTABLE SCREENER,PORTABLE SCREENER,3901432,Krueger Brothers Gravel & Dirt  ,SD ,Intermittent 
M ,Construction Sand and Gravel ,Forbes Pit,Forbes Pit,3609624,M R Dirt  ,PA ,Temporarily Idled 
M ,Dimension Stone NEC ,Camptown Quarry,Camptown Quarry,3609931,M.R. Dirt Inc.  ,PA ,Intermittent 
C ,Coal (Bituminous) ,Fedscreek Surface,Fedscreek Surface,1519799,"P B Dirt Movers, Inc  ",KY ,Active 
C , ,No. 3,No. 3,4407379,"P B Dirt Movers, Inc.  ",VA ,New Mine 
C ,Coal (Bituminous) ,Mine No. 6,Mine No. 6,4407296,PB Dirt Movers  ,VA ,Temporarily Idled 
M ,Construction Sand and Gravel ,Sandretto Drive,Sandretto Drive,0203332,"Prescott Dirt, LLC  ",AZ ,Intermittent 
M ,Construction Sand and Gravel ,R D BLANKENSHIP DIRT WORK,R D BLANKENSHIP DIRT WORK,2901986,R D Blankenship Dirt Work LLC  ,NM ,Active 
M ,"Sand, Common ",Molino Pit,Molino Pit,0801417,"Sand & Dirt, Inc  ",FL ,Active 
M ,Construction Sand and Gravel ,Pettibone Jaw Crusher,Pettibone Jaw Crusher,4300768,SIMPSON DIRTWORX LLC  ,VT ,Intermittent 
M ,Construction Sand and Gravel ,Chieftan 1400,Chieftan 1400,4300776,SIMPSON DIRTWORX LLC  ,VT ,Intermittent 
M ,Construction Sand and Gravel ,Mike's Money Pit,Mike's Money Pit,2302283,"Spry's Dirt & Gravel, Inc.  ",MO ,Intermittent 
M ,Construction Sand and Gravel ,Crusher,Crusher,2103518,Vogt Dirt Service  ,MN ,Intermittent 
